exit_time,cumulative_r
2020-01-03 09:35,2.59
2020-01-07 09:40,1.489
2020-01-08 09:55,0.388
2020-01-14 09:40,-0.711
2020-01-20 18:00,-0.42
2020-01-23 16:00,2.256
2020-01-27 12:45,1.156
2020-01-28 10:20,0.056
2020-01-29 10:00,2.662
2020-01-31 09:30,1.564
2020-02-07 08:40,0.468
2020-02-13 10:45,3.088
2020-02-18 13:10,1.994
2020-02-19 09:30,0.9
2020-03-02 09:00,-0.205
2020-03-03 08:45,-1.307
2020-03-11 09:30,-2.416
2020-03-13 10:20,-3.533
2020-03-17 08:35,-4.655
2020-03-19 08:45,-2.147
2020-03-23 10:15,-3.271
2020-03-24 08:50,-4.391
2020-04-01 08:55,-5.507
2020-04-03 08:35,-2.974
2020-04-22 08:50,-4.079
2020-04-24 09:45,-1.493
2020-04-29 09:55,-2.594
2020-05-01 09:35,-0.002
2020-05-04 09:10,-1.105
2020-05-08 13:05,1.502
2020-05-11 09:35,4.108
2020-05-13 09:05,6.714
2020-05-14 09:40,9.313
2020-05-15 10:50,11.915
2020-05-19 09:55,14.527
2020-05-21 10:30,13.431
2020-05-22 09:50,12.334
2020-06-01 10:05,14.954
2020-06-08 09:30,13.862
2020-06-10 14:00,16.499
2020-06-11 09:35,19.133
2020-06-12 09:15,18.04
2020-06-15 10:50,16.946
2020-06-18 11:00,15.855
2020-06-24 09:55,14.765
2020-06-25 09:40,17.402
2020-06-29 11:25,16.31
2020-06-30 09:40,15.219
2020-07-01 10:15,17.86
2020-07-07 09:45,20.514
2020-07-08 09:40,23.168
2020-07-10 09:35,22.083
2020-07-14 09:45,24.739
2020-07-16 09:30,27.392
2020-07-17 09:10,26.306
2020-07-22 09:20,25.222
2020-07-28 09:35,24.136
2020-07-30 09:00,23.049
2020-07-31 09:30,21.965
2020-08-04 10:05,24.632
2020-08-06 12:10,27.301
2020-08-07 11:55,26.219
2020-08-11 10:00,28.887
2020-08-12 09:35,27.804
2020-08-14 09:30,26.722
2020-08-19 09:45,25.641
2020-08-20 09:45,24.56
2020-08-21 10:30,27.239
2020-08-28 13:30,26.162
2020-09-04 08:45,25.083
2020-09-07 10:35,24.003
2020-09-09 09:10,22.921
2020-09-11 09:35,25.595
2020-09-14 09:30,24.513
2020-09-17 10:15,23.43
2020-09-21 08:40,22.345
2020-09-22 09:45,21.262
2020-09-23 11:25,20.179
2020-10-05 10:10,22.855
2020-10-06 10:20,25.534
2020-10-07 11:30,24.454
2020-10-13 09:30,23.378
2020-10-14 09:30,22.302
2020-10-15 09:30,21.224
2020-10-20 10:45,23.91
2020-10-27 09:45,22.83
2020-10-29 09:55,21.748
2020-11-02 09:50,20.666
2020-11-03 09:50,19.584
2020-11-06 09:50,18.507
2020-11-09 09:30,17.431
2020-11-11 09:40,16.353
2020-11-13 10:15,19.043
2020-11-16 09:40,21.733
2020-11-17 09:35,20.656
2020-11-20 15:50,23.348
2020-11-25 10:05,22.272
2020-11-26 12:20,21.196
2020-11-30 09:40,20.121
2020-12-01 09:30,19.046
2020-12-02 16:00,21.209
2020-12-08 10:20,20.135
2020-12-09 09:35,19.062
2020-12-10 09:50,17.987
2020-12-14 09:45,20.689
2020-12-18 09:50,19.616
2020-12-21 10:05,18.542
2020-12-22 11:30,21.251
2020-12-23 15:55,23.96
